day_of_outbreak,date,reported_incidence,incidence_mean,incidence_lower,incidence_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob
179,2017-12-22,0.0,0.000125,0.0,0.0,0.8893755644508263,0.13878546867266084,3.037941337817518,0.001914823208556018
180,2017-12-23,0.0,6.25e-05,0.0,0.0,0.9018720904240365,0.14143205992534733,2.9953320109829824,0.001677596202046664
181,2017-12-24,0.0,0.0,0.0,0.0,0.9107084636456166,0.14269757471963965,3.085040401290342,0.0014461876455781372
182,2017-12-25,0.0,0.0006875,0.0,0.0,0.9208723414688342,0.1445250030302713,3.106691922595984,0.0012245469398886027
183,2017-12-26,0.0,0.0,0.0,0.0,0.9334012590789372,0.14752995298432703,3.1753210582755074,0.0012944507331444331
184,2017-12-27,0.0,0.0,0.0,0.0,0.943776154504031,0.1486911888058439,3.1575603467245044,0.0011400675279423103
185,2017-12-28,0.0,0.0,0.0,0.0,0.9540215810410331,0.14729211893552635,3.274986007043809,0.0010118362092928035
186,2017-12-29,0.0,0.0,0.0,0.0,0.9648779931224425,0.14918925825758447,3.360190598025597,0.0009035734905938215
187,2017-12-30,0.0,0.0,0.0,0.0,0.9722595272635686,0.15004599545603833,3.3816766045158113,0.0008054700097428163
188,2017-12-31,,,,,0.9808728232434378,0.1512840120983844,3.3886829014526447,0.0007226135098223735
