date,temperature,temperature_smoothed,suitability,suitability_smoothed
2021-12-18,7.1,9.259385024833898,0.0,0.0
2021-12-19,5.9,9.195921555560227,0.0,0.0
2021-12-20,6.8,9.134787516731588,0.0,0.0
2021-12-21,7.8,9.075972732424097,0.0,0.0
2021-12-22,8.7,9.019466191663891,0.0,0.0
2021-12-23,7.7,8.965256085317465,0.0,0.0
2021-12-24,12.5,8.913329843353612,7.95280050144242e-12,0.0
2021-12-25,13.8,8.863674172427585,2.117403400376795e-08,0.0
2021-12-26,12.9,8.81627509373478,1.331422978558493e-10,0.0
2021-12-27,11.0,8.771117981083961,3.542073959347226e-16,0.0
2021-12-28,11.9,8.728187599137389,2.3395806659970325e-13,0.0
2021-12-29,12.2,8.687468141767317,3.3541170137240853e-12,0.0
2021-12-30,10.4,8.6489432704769,0.0,0.0
2021-12-31,11.0,8.612596152834577,3.542073959347226e-16,0.0
2022-01-01,9.6,8.578409500870222,0.0,0.0
2022-01-02,8.6,8.546365609383008,0.0,0.0
2022-01-03,10.7,8.516446394109519,1.4168295837388853e-16,0.0
2022-01-04,13.2,8.48863342970226,1.2050778195788784e-09,0.0
2022-01-05,13.2,8.462907987468899,1.2050778195788784e-09,0.0
2022-01-06,9.5,8.439251072822241,0.0,0.0
2022-01-07,8.0,8.417643462392762,0.0,0.0
2022-01-08,4.8,8.398065740754985,0.0,0.0
2022-01-09,4.4,8.380498336720361,0.0,0.0
2022-01-10,6.2,8.364921559149488,0.0,0.0
2022-01-11,7.9,8.35131563223792,0.0,0.0
2022-01-12,6.8,8.339660730229838,0.0,0.0
2022-01-13,5.7,8.329937011515515,0.0,0.0
2022-01-14,5.0,8.322124652068792,0.0,0.0
2022-01-15,5.7,8.316203878182257,0.0,0.0
2022-01-16,7.2,8.312154998458459,0.0,0.0
2022-01-17,7.0,8.309958435016904,0.0,0.0
2022-01-18,6.3,8.30959475387747,0.0,0.0
2022-01-19,7.3,8.311044694482144,0.0,0.0
2022-01-20,9.7,8.314289198318276,0.0,0.0
2022-01-21,8.1,8.319309436607679,0.0,0.0
2022-01-22,5.9,8.326086837027313,0.0,0.0
2022-01-23,5.2,8.334603109428622,0.0,0.0
2022-01-24,6.4,8.344840270523987,0.0,0.0
2022-01-25,4.8,8.35678066751009,0.0,0.0
2022-01-26,5.6,8.370407000599709,0.0,0.0
2022-01-27,7.1,8.385702344434591,0.0,0.0
2022-01-28,8.1,8.40265016835396,0.0,0.0
2022-01-29,6.6,8.421234355494423,0.0,0.0
2022-01-30,6.6,8.441439220698982,0.0,0.0
2022-01-31,7.7,8.46324952721426,0.0,0.0
2022-02-01,8.6,8.486650502156502,0.0,0.0
2022-02-02,8.3,8.51162785072928,0.0,0.0
2022-02-03,9.2,8.538167769176416,0.0,0.0
2022-02-04,11.5,8.56625695645669,1.6478245350993922e-14,0.0
2022-02-05,11.7,8.595882624627103,1.252181559753481e-13,0.0
2022-02-06,10.1,8.627032507924788,0.0,0.0
2022-02-07,11.2,8.659694870537939,6.8038225779583796e-15,0.0
2022-02-08,7.6,8.693858513058993,0.0,0.0
2022-02-09,8.8,8.729512777614337,0.0,0.0
2022-02-10,9.3,8.766647551667262,0.0,0.0
2022-02-11,8.3,8.805253270491667,0.0,0.0
2022-02-12,9.3,8.845320918317153,0.0,0.0
2022-02-13,10.3,8.886842028146315,0.0,0.0
2022-02-14,11.6,8.929808680248584,7.084820066317101e-14,0.0
2022-02-15,11.3,8.97421349933482,1.0028630168970267e-14,0.0
2022-02-16,9.1,9.02004965042062,0.0,0.0
2022-02-17,9.1,9.06731083338618,0.0,0.0
2022-02-18,11.7,9.115991276243726,1.252181559753481e-13,0.0
2022-02-19,11.7,9.166085727124221,1.252181559753481e-13,0.0
2022-02-20,12.1,9.217589444997962,1.821222517817983e-12,0.0
2022-02-21,11.6,9.270498189143513,7.084820066317101e-14,0.0
2022-02-22,10.5,9.324808207383525,0.0,0.0
2022-02-23,10.6,9.380516223104978,7.084147918694426e-17,0.0
2022-02-24,10.3,9.437619421085772,0.0,0.0
2022-02-25,10.2,9.49611543214829,0.0,0.0
2022-02-26,7.1,9.556002316665145,0.0,0.0
2022-02-27,6.8,9.617278546941076,0.0,0.0
2022-02-28,7.6,9.679942988498278,0.0,0.0
2022-03-01,5.6,9.74399488029384,0.0,0.0
2022-03-02,5.4,9.80943381389775,0.0,0.0
2022-03-03,6.9,9.87625971166408,0.0,0.0
2022-03-04,7.1,9.94447280392614,0.0,0.0
2022-03-05,6.8,10.014073605251074,0.0,0.0
2022-03-06,5.7,10.085062889787205,0.0,0.0
2022-03-07,5.4,10.157441665742144,0.0,0.0
2022-03-08,4.7,10.23121114902767,0.0,0.0
2022-03-09,6.3,10.306372736111028,0.0,0.0
2022-03-10,8.2,10.38292797611163,0.0,0.0
2022-03-11,8.8,10.460878542185034,0.0,0.0
2022-03-12,8.7,10.540226202234345,0.0,2.849683668354198e-17
2022-03-13,8.8,10.620972788993788,0.0,8.569891313690044e-17
2022-03-14,9.2,10.703120169525967,0.0,1.4389333261922417e-16
2022-03-15,10.4,10.786670214179473,0.0,2.030814201131208e-16
2022-03-16,11.0,10.87162476504991,3.542073959347226e-16,2.6326448058636366e-16
2022-03-17,12.8,10.957985603992505,1.0184492351724772e-10,3.244437763315524e-16
2022-03-18,13.3,11.045754420231136,1.7253968932711015e-09,1.829699412771845e-15
