day_of_outbreak,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper
121,0.15266168558674126,0.02203893108015503,0.43139808545681174,0.38141101260492066,0.07450779639552908,0.011801811942340331,0.14351740975527938,2.205951540701917,0.5864460714614029,5.680895041650738
122,0.15670291182634388,0.021354909215649392,0.44883118998905663,0.34471462519672025,0.07438888432342364,0.012980689446403782,0.14391167281420217,2.270653254378732,0.5843103880768123,5.90981072736667
123,0.16271754279585401,0.025821957195283716,0.4508092209289616,0.307403796533957,0.07456793059143496,0.015921654445876367,0.14315100572702416,2.345644710534505,0.587339102488899,6.220642149556045
124,0.16947389766886564,0.026690637339315752,0.4768930626590775,0.2692304723349153,0.0750497039176047,0.01731193738434405,0.14415462730397888,2.4083059163063774,0.6071705572744739,6.462354188653682
125,0.17836596080346634,0.029381478903380866,0.5167241334721542,0.23072422633330028,0.07590620033636103,0.0210611517460085,0.14541446744120765,2.506280876750964,0.6050281970312583,6.993566911626391
126,0.17686169749438116,0.029254737647988263,0.5040760140760044,0.28533867901205495,0.07481991739201524,0.020082202268761857,0.14232461666075696,2.521857743613163,0.5890286407035608,7.2162335280842465
127,0.17685853496612172,0.025734222410847756,0.5500391851863927,0.25540221477143127,0.07382371067762679,0.01843778561673911,0.13922155207000556,2.5451402524834528,0.5588083579224611,7.381321310870455
128,0.17656652662514544,0.02549641137900571,0.5548014851419655,0.2287309027517018,0.07301021560168966,0.015944329350872474,0.13851819766160492,2.561420177451543,0.559355659171078,7.33772835868382
129,0.17726639777139142,0.02329163195426582,0.5617029648849285,0.20557465898662367,0.0725438976670931,0.017507685221712428,0.13709700899472604,2.5843181116106586,0.5433334989703308,7.481384811742167
130,0.178417833658046,0.02108551572059387,0.5446845632136409,0.18537928643314394,0.07227192747629564,0.015504393077692441,0.13833111411144075,2.6053925094231425,0.5351613410453732,7.606111864610577
131,0.179972391248815,0.02353462719505043,0.5741649984198595,0.16725536083962025,0.0721833094133367,0.01667156290294064,0.1387643079129071,2.632798862235507,0.5323288333660179,7.9384093089765635
132,0.18202220946022044,0.02342823741635224,0.583731142318834,0.14999252882331834,0.07197968734053682,0.01845891462435738,0.13891834775955889,2.6629153750626955,0.5333144876186021,7.941611403702331
